Year,Month,All Items,Food and Non-Alcoholic Beverages,Alcoholic Beverages and Tobacco,Clothing and Footwear,"Housing, Water, Electricity, Gas, and other Fuels","Furnishing, Household Equipment and Routine Household Maintenance",Health,Transport,Information and Communication,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Financial Services,"Personal Care, and Miscellaneous Goods and Services"
1957,Jan,0.838754109,,,,,,,,,,,,,
1957,Feb,0.838754109,,,,,,,,,,,,,
1957,Mar,0.838754109,,,,,,,,,,,,,
1957,Apr,0.838754109,,,,,,,,,,,,,
1957,May,0.838754109,,,,,,,,,,,,,
1957,Jun,0.845306876,,,,,,,,,,,,,
1957,Jul,0.858412409,,,,,,,,,,,,,
1957,Aug,0.864965175,,,,,,,,,,,,,
1957,Sep,0.871517942,,,,,,,,,,,,,
1957,Oct,0.884623475,,,,,,,,,,,,,
1957,Nov,0.884623475,,,,,,,,,,,,,
1957,Dec,0.884623475,,,,,,,,,,,,,
1958,Jan,0.891176241,,,,,,,,,,,,,
1958,Feb,0.891176241,,,,,,,,,,,,,
1958,Mar,0.884623475,,,,,,,,,,,,,
1958,Apr,0.884623475,,,,,,,,,,,,,
1958,May,0.891176241,,,,,,,,,,,,,
1958,Jun,0.891176241,,,,,,,,,,,,,
1958,Jul,0.891176241,,,,,,,,,,,,,
1958,Aug,0.891176241,,,,,,,,,,,,,
1958,Sep,0.891176241,,,,,,,,,,,,,
1958,Oct,0.891176241,,,,,,,,,,,,,
1958,Nov,0.891176241,,,,,,,,,,,,,
1958,Dec,0.878070708,,,,,,,,,,,,,
1959,Jan,0.871517942,,,,,,,,,,,,,
1959,Feb,0.871517942,,,,,,,,,,,,,
1959,Mar,0.871517942,,,,,,,,,,,,,
1959,Apr,0.871517942,,,,,,,,,,,,,
1959,May,0.871517942,,,,,,,,,,,,,
1959,Jun,0.871517942,,,,,,,,,,,,,
1959,Jul,0.884623475,,,,,,,,,,,,,
1959,Aug,0.884623475,,,,,,,,,,,,,
1959,Sep,0.884623475,,,,,,,,,,,,,
1959,Oct,0.891176241,,,,,,,,,,,,,
1959,Nov,0.904281774,,,,,,,,,,,,,
1959,Dec,0.904281774,,,,,,,,,,,,,
1960,Jan,0.910834541,,,,,,,,,,,,,
1960,Feb,0.897729008,,,,,,,,,,,,,
1960,Mar,0.891176241,,,,,,,,,,,,,
1960,Apr,0.897729008,,,,,,,,,,,,,
1960,May,0.910834541,,,,,,,,,,,,,
1960,Jun,0.917387307,,,,,,,,,,,,,
1960,Jul,0.923940074,,,,,,,,,,,,,
